Symbol,Name,Last Price,Change,% Change
AMC,"AMC Entertainment Holdings, Inc.",8.17,0.94,13.00%
ZS,"Zscaler, Inc.",144.5,11.05,8.28%
FTCH,Farfetch Limited,5.52,-2.98,-35.06%
MRVL,"Marvell Technology, Inc.",45.4,-1.12,-2.41%
ASAN,"Asana, Inc.",18.08,-0.08,-0.44%
AVXL,Anavex Life Sciences Corp.,8.87,0.05,0.57%
BX,Blackstone Inc.,85.04,-6.49,-7.09%
ULTA,"Ulta Beauty, Inc.",472.53,7.69,1.65%
PATH,UiPath Inc.,12.92,0.45,3.61%
TLRY,"Tilray Brands, Inc.",4.17,0.3,7.75%
EGRNF,China Evergrande Group,0.12,0.095,380.00%
BLK,"BlackRock, Inc.",722.18,6.18,0.86%
COST,Costco Wholesale Corporation,503.86,-35.39,-6.56%
RMED,"Ra Medical Systems, Inc.",3.17,0.72,29.39%
CHPT,"ChargePoint Holdings, Inc.",12.19,-0.23,-1.85%
VEEV,Veeva Systems Inc.,191.42,1.06,0.56%
GDRX,"GoodRx Holdings, Inc.",5.16,0.8,18.35%
NEON,Neonode Inc.,5.93,1.83,44.63%
GTBIF,Green Thumb Industries Inc.,14.52,1.52,11.69%
CM,Canadian Imperial Bank of Commerce,44.53,-3.64,-7.56%
DG,Dollar General Corporation,236.34,-19.34,-7.56%
MSOS,AdvisorShares Pure US Cannabis ETF,12.75,0.81,6.78%
RIGL,"Rigel Pharmaceuticals, Inc.",0.6841,0.0125,1.86%
CGC,Canopy Growth Corporation,3.93,0.31,8.56%
IOT,Samsara Inc.,9.9,0.37,3.88%
PD,"PagerDuty, Inc.",22.52,0.28,1.26%
RGR,"Sturm, Ruger & Company, Inc.",60.57,5.64,10.27%